Source,Station,Date,WaterTemp_Mean,WaterTemp_Max,DO_Mean,DO_Max,pH_Mean,pH_Max,Chla_Mean,Chla_Max
DWR_NCRO,FAL,2015-01-01,8.895833333333334,9.2,10.3709375,10.42,NA,NA,6.15625,8.97
DWR_NCRO,FAL,2015-01-02,8.7875,9,10.1975,10.33,NA,NA,5.2752083333333335,6.2
DWR_NCRO,FAL,2015-01-03,8.721875,8.9,10.049791666666668,10.12,NA,NA,4.656666666666666,5.12
DWR_NCRO,FAL,2015-01-04,8.653125,8.9,9.977604166666667,10.07,NA,NA,4.539791666666667,4.91
DWR_NCRO,FAL,2015-01-05,8.586458333333333,8.7,9.9158333333333335,10.03,NA,NA,4.4134375,6.1
DWR_NCRO,FAL,2015-01-06,8.609375,8.7,9.861041666666667,10,NA,NA,4.276666666666666,4.61
DWR_NCRO,FAL,2015-01-07,8.653125,8.8,9.7971875,9.89,NA,NA,4.168333333333333,4.59
DWR_NCRO,FAL,2015-01-08,8.733333333333334,8.8,9.746666666666666,9.83,NA,NA,4.0759375,4.43
DWR_NCRO,FAL,2015-01-09,8.81875,8.9,9.685833333333333,9.79,NA,NA,3.9755208333333334,4.3
DWR_NCRO,FAL,2015-01-10,8.934375000000001,9.1,9.626666666666667,9.77,NA,NA,3.93625,4.31
DWR_NCRO,FAL,2015-01-11,9.06875,9.3,9.585,9.72,NA,NA,3.895,4.26
DWR_NCRO,FAL,2015-01-12,9.275,9.6,9.538854166666667,9.64,NA,NA,3.8140625,4.22
DWR_NCRO,FAL,2015-01-13,9.405208333333333,9.7,9.518958333333334,9.63,NA,NA,3.7575,4.11
DWR_NCRO,FAL,2015-01-14,9.43125,9.7,9.5246875,9.63,NA,NA,3.7646875,4.23
DWR_NCRO,FAL,2015-01-15,9.441666666666666,9.6,9.4940625,9.61,NA,NA,3.762395833333333,4.21
DWR_NCRO,FAL,2015-01-16,9.482291666666667,9.7,9.538020833333333,9.63,NA,NA,3.7457291666666666,4.42
DWR_NCRO,FAL,2015-01-17,9.580208333333333,9.8,9.5484375,9.65,NA,NA,3.7159375,4.21
DWR_NCRO,FAL,2015-01-18,9.688541666666666,9.9,9.539895833333333,9.61,NA,NA,3.6665625,4.25
DWR_NCRO,FAL,2015-01-19,9.839583333333334,9.9,9.491979166666667,9.62,NA,NA,3.6414583333333335,4.43
DWR_NCRO,FAL,2015-01-20,9.901041666666668,10,9.453229166666667,9.55,NA,NA,3.5607291666666665,4.11
