BGC_ID,QA_ID,USGS_Project_Name,Site,NWIS_site_no,Date,date_time,lab,Relinquished_Date,toxin,result,method,class,LOD_min,LOD_max,resultNum,Year,Month,DOY,detect_tox
BGC006072,NA,SFEI contract #1513,LIB,11455315,1/5/2022,2022-01-05T09:15:00Z,Lumigen,2022-01-10T00:00:00Z,dMC-RR,N/A,LCMS,Microcystins,NA,NA,NA,2022,Jan,1/5/1904,NA
BGC006072,NA,SFEI contract #1513,LIB,11455315,1/5/2022,2022-01-05T09:15:00Z,Lumigen,2022-01-10T00:00:00Z,(Leu)MC-LR,N/A,LCMS,Microcystins,NA,NA,NA,2022,Jan,1/5/1904,NA
BGC006072,NA,SFEI contract #1513,LIB,11455315,1/5/2022,2022-01-05T09:15:00Z,Lumigen,2022-01-10T00:00:00Z,dMC-HtyR,N/A,LCMS,Microcystins,NA,NA,NA,2022,Jan,1/5/1904,NA
BGC006072,NA,SFEI contract #1513,LIB,11455315,1/5/2022,2022-01-05T09:15:00Z,Lumigen,2022-01-10T00:00:00Z,(Asp3)MC-LR,N/A,LCMS,Microcystins,NA,NA,NA,2022,Jan,1/5/1904,NA
BGC006072,NA,SFEI contract #1513,LIB,11455315,1/5/2022,2022-01-05T09:15:00Z,Lumigen,2022-01-10T00:00:00Z,MC-LY/E,N/A,LCMS,Microcystins,NA,NA,NA,2022,Jan,1/5/1904,NA
BGC006072,NA,SFEI contract #1513,LIB,11455315,1/5/2022,2022-01-05T09:15:00Z,Lumigen,2022-01-10T00:00:00Z,BMAA,N/A,LCMS,BMAA,NA,NA,NA,2022,Jan,1/5/1904,NA
BGC006072,NA,SFEI contract #1513,LIB,11455315,1/5/2022,2022-01-05T09:15:00Z,Lumigen,2022-01-10T00:00:00Z,Neosaxitoxin,N/A,LCMS,Saxitoxins,NA,NA,NA,2022,Jan,1/5/1904,NA
BGC006072,NA,SFEI contract #1513,LIB,11455315,1/5/2022,2022-01-05T09:15:00Z,Lumigen,2022-01-10T00:00:00Z,Desamidoylneosaxitoxin,N/A,LCMS,Saxitoxins,NA,NA,NA,2022,Jan,1/5/1904,NA
BGC006072,NA,SFEI contract #1513,LIB,11455315,1/5/2022,2022-01-05T09:15:00Z,Lumigen,2022-01-10T00:00:00Z,Total Anatoxin-a,N/A,LCMS,Anatoxins,NA,NA,NA,2022,Jan,1/5/1904,NA
BGC006072,NA,SFEI contract #1513,LIB,11455315,1/5/2022,2022-01-05T09:15:00Z,Lumigen,2022-01-10T00:00:00Z,Total BMAA,N/A,LCMS,BMAA,NA,NA,NA,2022,Jan,1/5/1904,NA
BGC006072,NA,SFEI contract #1513,LIB,11455315,1/5/2022,2022-01-05T09:15:00Z,Lumigen,2022-01-10T00:00:00Z,Total Saxitoxin,N/A,LCMS,Saxitoxins,NA,NA,NA,2022,Jan,1/5/1904,NA
BGC006072,NA,SFEI contract #1513,LIB,11455315,1/5/2022,2022-01-05T09:15:00Z,Lumigen,2022-01-10T00:00:00Z,Total Nodularin-R,N/A,LCMS,Nodularin,NA,NA,NA,2022,Jan,1/5/1904,NA
BGC006072,NA,SFEI contract #1513,LIB,11455315,1/5/2022,2022-01-05T09:15:00Z,Lumigen,2022-01-10T00:00:00Z,Total Cylindrospermopsin,N/A,LCMS,Cylindrospermopsins,NA,NA,NA,2022,Jan,1/5/1904,NA
BGC006072,NA,SFEI contract #1513,LIB,11455315,1/5/2022,2022-01-05T09:15:00Z,Lumigen,2022-01-10T00:00:00Z,Total Anabaenopeptins,N/A,LCMS,Anabaenopeptins,NA,NA,NA,2022,Jan,1/5/1904,NA
BGC006054,NA,CMF HABs Fixed (cyanotoxins),DEC/TOL,11455485,12/16/2021,2021-12-16T10:15:00Z,Lumigen,2022-01-04T00:00:00Z,dMC-RR,N/A,LCMS,Microcystins,NA,NA,NA,2021,Dec,12/16/1904,NA
BGC006054,NA,CMF HABs Fixed (cyanotoxins),DEC/TOL,11455485,12/16/2021,2021-12-16T10:15:00Z,Lumigen,2022-01-04T00:00:00Z,(Leu)MC-LR,N/A,LCMS,Microcystins,NA,NA,NA,2021,Dec,12/16/1904,NA
BGC006054,NA,CMF HABs Fixed (cyanotoxins),DEC/TOL,11455485,12/16/2021,2021-12-16T10:15:00Z,Lumigen,2022-01-04T00:00:00Z,dMC-HtyR,N/A,LCMS,Microcystins,NA,NA,NA,2021,Dec,12/16/1904,NA
BGC006054,NA,CMF HABs Fixed (cyanotoxins),DEC/TOL,11455485,12/16/2021,2021-12-16T10:15:00Z,Lumigen,2022-01-04T00:00:00Z,(Asp3)MC-LR,N/A,LCMS,Microcystins,NA,NA,NA,2021,Dec,12/16/1904,NA
BGC006054,NA,CMF HABs Fixed (cyanotoxins),DEC/TOL,11455485,12/16/2021,2021-12-16T10:15:00Z,Lumigen,2022-01-04T00:00:00Z,MC-LY/E,N/A,LCMS,Microcystins,NA,NA,NA,2021,Dec,12/16/1904,NA
BGC006054,NA,CMF HABs Fixed (cyanotoxins),DEC/TOL,11455485,12/16/2021,2021-12-16T10:15:00Z,Lumigen,2022-01-04T00:00:00Z,BMAA,N/A,LCMS,BMAA,NA,NA,NA,2021,Dec,12/16/1904,NA
BGC006054,NA,CMF HABs Fixed (cyanotoxins),DEC/TOL,11455485,12/16/2021,2021-12-16T10:15:00Z,Lumigen,2022-01-04T00:00:00Z,Neosaxitoxin,N/A,LCMS,Saxitoxins,NA,NA,NA,2021,Dec,12/16/1904,NA
